iter	Passed	Remaining
571	183747	458725
572	184061	458387
573	184372	458040
574	184684	457696
575	185000	457361
576	185322	457042
577	185639	456711
578	185958	456386
579	186273	456048
580	186592	455722
581	186912	455399
582	187230	455070
583	187553	454753
584	187876	454436
585	188193	454105
586	188516	453788
587	188832	453455
588	189154	453135
589	189470	452802
590	189786	452468
591	190104	452141
592	190425	451817
593	190741	451484
594	191061	451161
595	191376	450827
596	191699	450510
597	192021	450190
598	192344	449873
599	192655	449528
600	192973	449201
601	193288	448864
602	193603	448529
603	193911	448180
604	194225	447841
605	194532	447488
606	194853	447167
607	195172	446841
608	195489	446512
609	195804	446177
610	196118	445841
611	196434	445508
612	196750	445176
613	197067	444846
614	197383	444513
615	197700	444183
616	198021	443863
617	198339	443534
618	198657	443209
619	198982	442897
620	199310	442590
621	199632	442273
622	199953	441952
623	200285	441654
624	200602	441324
625	200925	441008
626	201250	440697
627	201576	440387
628	201901	440075
629	202231	439772
630	202555	439459
631	202882	439151
632	203210	438844
633	203534	438529
634	203859	438217
635	204181	437899
636	204505	437584
637	204826	437263
638	205158	436965
639	205480	436645
640	205813	436350
641	206134	436030
642	206453	435704
643	206778	435391
644	207097	435065
645	207421	434749
646	207742	434429
647	208063	434108
648	208385	433789
649	208705	433465
650	209034	433160
651	209357	432843
652	209677	432520
653	209994	432189
654	210321	431881
655	210646	431567
656	210966	431244
657	211291	430931
658	211616	430617
659	211940	430304
660	212260	429979
661	212584	429665
662	212911	429355
663	213233	429036
664	213563	428732
665	213885	428413
666	214211	428101
667	214533	427782
668	214851	427454
669	215176	427141
670	215500	426826
671	215825	426512
672	216151	426200
673	216472	425879
674	216791	425554
675	217110	425228
676	217424	424893
677	217747	424575
678	218069	424256
679	218394	423941
680	218719	423628
681	219042	423310
682	219364	422991
683	219691	422680
684	220014	422362
685	220339	422049
686	220664	421736
687	220986	421416
688	221311	421101
689	221632	420780
690	221961	420473
691	222285	420158
692	222603	419830
693	222926	419512
694	223246	419189
695	223566	418865
696	223887	418544
697	224206	418218
698	224525	417892
699	224840	417561
700	225155	417227
701	225474	416903
702	225790	416572
703	226105	416239
704	226428	415922
705	226749	415600
706	227071	415280
707	227394	414962
708	227715	414641
709	228036	414320
710	228357	413998
711	228674	413670
712	228991	413340
713	229305	413006
714	229626	412684
715	229941	412353
716	230260	412028
717	230579	411703
718	230892	411367
719	231210	411041
720	231531	410719
721	231852	410398
722	232172	410075
723	232489	409747
724	232807	409420
725	233129	409100
726	233451	408780
727	233773	408461
728	234093	408138
729	234416	407820
730	234731	407488
731	235054	407170
732	235374	406848
733	235688	406515
734	236008	406191
735	236323	405859
736	236641	405532
737	236957	405204
738	237278	404882
739	237594	404552
740	237913	404228
741	238239	403914
742	238560	403594
743	238883	403277
744	239204	402954
745	239519	402623
746	239839	402300
747	240160	401979
748	240481	401658
749	240803	401339
750	241126	401022
751	241449	400703
752	241765	400373
753	242089	400058
754	242412	399740
755	242735	399421
756	243055	399098
757	243380	398785
758	243695	398453
759	244013	398127
760	244328	397796
761	244646	397470
762	244964	397144
763	245285	396823
764	245609	396507
765	245931	396186
766	246249	395861
767	246563	395528
768	246880	395202
769	247197	394874
770	247514	394546
771	247831	394218
772	248151	393897
773	248468	393569
774	248787	393244
775	249114	392933
776	249433	392608
777	249744	392271
778	250064	391949
779	250384	391626
780	250703	391302
781	251014	390966
782	251333	390642
783	251653	390319
784	251974	389998
785	252297	389680
786	252615	389354
787	252931	389027
788	253249	388701
789	253563	388369
790	253877	388038
791	254192	387708
792	254508	387378
793	254826	387053
794	255144	386729
795	255462	386403
796	255777	386073
797	256092	385743
798	256409	385416
799	256727	385090
800	257047	384769
801	257365	384444
802	257686	384122
803	258003	383796
804	258328	383480
805	258651	383163
806	258975	382847
807	259299	382531
808	259619	382208
809	259941	381889
810	260265	381573
811	260590	381257
812	260917	380945
813	261240	380627
814	261563	380310
815	261888	379994
816	262212	379678
817	262535	379360
818	262859	379043
819	263185	378729
820	263512	378418
821	263840	378106
822	264170	377798
823	264499	377488
824	264826	377177
825	265159	376873
826	265495	376573
827	265823	376261
828	266156	375957
829	266485	375648
830	266818	375344
831	267151	375039
832	267486	374738
833	267817	374430
834	268148	374123
835	268480	373817
836	268814	373514
837	269147	373209
838	269478	372902
839	269805	372588
840	270131	372273
841	270458	371961
842	270784	371645
843	271105	371325
844	271429	371006
845	271756	370693
846	272077	370372
847	272401	370054
848	272723	369734
849	273041	369409
850	273368	369095
851	273695	368782
852	274025	368472
853	274352	368159
854	274678	367844
855	275007	367532
856	275329	367212
857	275654	366897
858	275981	366582
859	276306	366266
860	276632	365951
861	276960	365638
862	277283	365320
863	277607	365002
864	277932	364685
865	278259	364372
866	278587	364059
867	278913	363744
868	279239	363428
869	279565	363114
870	279886	362792
871	280210	362474
872	280537	362159
873	280858	361838
874	281184	361523
875	281508	361204
876	281830	360884
877	282150	360561
878	282478	360248
879	282805	359933
880	283130	359616
881	283448	359292
882	283772	358974
883	284096	358656
884	284419	358336
885	284743	358017
886	285060	357691
887	285377	357364
888	285698	357042
889	286015	356716
890	286332	356389
891	286650	356064
892	286973	355744
893	287298	355426
894	287619	355105
895	287939	354783
896	288261	354462
897	288581	354138
898	288901	353815
899	289219	353491
900	289532	353159
901	289853	352836
902	290169	352508
903	290490	352187
904	290804	351857
905	291122	351532
906	291437	351203
907	291744	350864
908	292060	350536
909	292381	350215
910	292692	349881
911	293003	349547
912	293319	349220
913	293629	348885
914	293943	348555
915	294259	348228
916	294576	347902
917	294895	347578
918	295213	347252
919	295527	346923
920	295842	346594
921	296164	346275
922	296485	345952
923	296802	345627
924	297122	345305
925	297438	344977
926	297763	344660
927	298083	344337
928	298405	344017
929	298733	343703
930	299056	343385
931	299379	343065
932	299703	342747
933	300032	342435
934	300359	342120
935	300685	341804
936	301017	341496
937	301345	341182
938	301666	340861
939	301987	340539
940	302311	340221
941	302637	339905
942	302961	339586
943	303289	339272
944	303616	338958
945	303943	338642
946	304271	338329
947	304589	338004
948	304922	337695
949	305252	337384
950	305578	337068
951	305906	336753
952	306225	336430
953	306546	336108
954	306866	335785
955	307192	335469
956	307521	335156
957	307845	334838
958	308163	334513
959	308475	334182
960	308793	333856
961	309114	333535
962	309437	333215
963	309755	332891
964	310078	332571
965	310401	332251
966	310720	331927
967	311039	331604
968	311362	331284
969	311686	330966
970	312009	330646
971	312335	330330
972	312660	330013
973	312985	329694
974	313307	329374
975	313628	329052
976	313942	328724
977	314259	328397
978	314578	328074
979	314903	327757
980	315228	327438
981	315550	327118
982	315871	326796
983	316198	326481
984	316523	326163
985	316847	325845
986	317169	325524
987	317492	325204
988	317815	324885
989	318139	324566
990	318461	324245
991	318784	323925
992	319109	323608
993	319432	323289
994	319753	322967
995	320070	322641
996	320392	322320
997	320719	322005
998	321046	321688
999	321375	321375
1000	321698	321055
1001	322023	320737
1002	322345	320417
1003	322662	320091
1004	322980	319767
1005	323308	319451
1006	323634	319135
1007	323957	318815
1008	324283	318498
1009	324597	318169
1010	324918	317847
1011	325238	317525
1012	325570	317214
1013	325895	316896
1014	326227	316585
1015	326548	316263
1016	326874	315946
1017	327196	315625
1018	327517	315303
1019	327849	314992
1020	328177	314677
1021	328505	314362
1022	328827	314041
1023	329152	313723
1024	329473	313401
1025	329796	313081
1026	330123	312765
1027	330444	312443
1028	330764	312120
1029	331112	311824
1030	331522	311586
1031	331943	311358
1032	332382	311145
1033	332712	310831
1034	333033	310509
1035	333359	310192
1036	333685	309874
1037	334003	309548
1038	334325	309227
1039	334644	308902
1040	334966	308580
1041	335287	308258
1042	335611	307938
1043	335926	307611
1044	336243	307285
1045	336556	306954
1046	336873	306629
1047	337187	306300
1048	337498	305968
1049	337811	305638
1050	338125	305310
1051	338439	304981
1052	338758	304657
1053	339075	304331
1054	339395	304008
1055	339717	303687
1056	340043	303369
1057	340368	303049
1058	340685	302724
1059	341007	302403
1060	341327	302079
1061	341645	301754
1062	341968	301434
1063	342294	301116
1064	342617	300795
1065	342942	300476
1066	343266	300157
1067	343589	299836
1068	343904	299508
1069	344221	299183
1070	344537	298856
1071	344853	298530
1072	345177	298209
1073	345495	297885
1074	345815	297562
1075	346133	297237
1076	346449	296911
1077	346766	296585
1078	347082	296258
1079	347408	295940
1080	347729	295617
1081	348050	295295
1082	348371	294973
1083	348688	294648
1084	349004	294321
1085	349327	294001
1086	349643	293675
1087	349963	293351
1088	350284	293029
1089	350601	292704
1090	350923	292382
1091	351238	292055
1092	351553	291728
1093	351876	291407
1094	352191	291080
1095	352515	290760
1096	352836	290439
1097	353158	290117
1098	353477	289793
1099	353794	289468
1100	354110	289142
1101	354425	288815
1102	354743	288490
1103	355063	288167
1104	355382	287844
1105	355704	287522
1106	356022	287197
1107	356345	286877
1108	356657	286548
1109	356976	286224
1110	357295	285900
1111	357612	285575
1112	357933	285253
1113	358254	284931
1114	358573	284607
1115	358888	284281
1116	359210	283959
1117	359532	283638
1118	359853	283316
1119	360173	282993
1120	360495	282672
1121	360817	282351
1122	361136	282026
1123	361457	281705
1124	361777	281382
1125	362104	281064
1126	362429	280746
1127	362748	280422
1128	363067	280098
1129	363380	279770
1130	363696	279445
1131	364016	279121
1132	364330	278794
1133	364647	278469
1134	364970	278149
1135	365286	277823
1136	365604	277499
1137	365928	277179
1138	366252	276860
1139	366578	276541
1140	366900	276220
1141	367230	275905
1142	367550	275582
1143	367875	275263
1144	368198	274942
1145	368521	274622
1146	368848	274305
1147	369171	273984
1148	369494	273664
1149	369821	273346
1150	370144	273025
1151	370471	272707
1152	370793	272386
1153	371120	272069
1154	371444	271749
1155	371773	271433
1156	372101	271116
1157	372425	270796
1158	372747	270475
1159	373071	270155
1160	373392	269833
1161	373709	269508
1162	374033	269188
1163	374356	268867
1164	374669	268539
1165	374992	268219
1166	375319	267901
1167	375641	267580
1168	375966	267261
1169	376290	266941
1170	376608	266616
1171	376933	266297
1172	377256	265977
1173	377584	265659
1174	377908	265339
1175	378231	265019
1176	378556	264700
1177	378881	264380
1178	379205	264060
1179	379530	263741
1180	379858	263424
1181	380189	263108
1182	380509	262786
1183	380832	262465
1184	381159	262147
1185	381485	261828
1186	381812	261511
1187	382138	261192
1188	382465	260874
1189	382794	260557
1190	383119	260238
1191	383439	259915
1192	383763	259595
1193	384085	259274
1194	384408	258953
1195	384734	258634
1196	385056	258312
1197	385381	257992
1198	385706	257673
1199	386033	257355
1200	386357	257035
1201	386675	256711
1202	386998	256390
1203	387321	256069
1204	387647	255750
1205	387963	255425
1206	388284	255102
1207	388605	254780
1208	388930	254461
1209	389253	254140
1210	389569	253814
1211	389891	253493
1212	390214	253172
1213	390535	252850
1214	390863	252533
1215	391184	252210
1216	391505	251889
1217	391825	251566
1218	392148	251245
1219	392471	250924
1220	392799	250606
1221	393118	250283
1222	393437	249959
1223	393760	249638
1224	394081	249316
1225	394402	248994
1226	394721	248671
1227	395039	248347
1228	395356	248022
1229	395675	247699
1230	395986	247371
1231	396303	247046
1232	396611	246716
1233	396921	246387
1234	397236	246061
1235	397547	245733
1236	397866	245410
1237	398180	245083
1238	398497	244759
1239	398818	244436
1240	399140	244115
1241	399459	243792
1242	399774	243467
1243	400097	243146
1244	400407	242817
1245	400727	242494
1246	401046	242171
1247	401357	241843
1248	401678	241521
1249	401997	241198
1250	402315	240874
1251	402635	240552
1252	402961	240233
1253	403278	239908
1254	403595	239584
1255	403915	239262
1256	404238	238941
1257	404556	238617
1258	404878	238296
1259	405197	237973
1260	405514	237648
1261	405838	237328
1262	406153	237003
1263	406476	236682
1264	406796	236360
1265	407115	236036
1266	407432	235712
1267	407754	235391
1268	408072	235067
1269	408386	234742
1270	408702	234417
1271	409020	234093
1272	409339	233770
1273	409656	233446
1274	409974	233122
1275	410300	232803
1276	410617	232479
1277	410939	232158
1278	411251	231831
1279	411562	231503
1280	411871	231175
1281	412187	230850
1282	412505	230527
1283	412820	230202
1284	413136	229877
1285	413455	229554
1286	413771	229230
1287	414080	228901
1288	414398	228578
1289	414713	228253
1290	415032	227930
1291	415350	227606
1292	415667	227283
1293	415986	226960
1294	416304	226636
1295	416624	226314
1296	416941	225990
1297	417256	225665
1298	417575	225342
1299	417891	225018
1300	418207	224694
1301	418522	224369
1302	418842	224046
1303	419166	223726
1304	419486	223404
1305	419807	223082
1306	420122	222758
1307	420438	222433
1308	420758	222111
1309	421081	221790
1310	421400	221468
1311	421712	221141
1312	422030	220818
1313	422349	220495
1314	422674	220176
1315	422995	219854
1316	423316	219532
1317	423639	219212
1318	423956	218889
1319	424280	218568
1320	424598	218245
1321	424920	217924
1322	425243	217603
1323	425561	217280
1324	425883	216959
1325	426202	216637
1326	426520	216313
1327	426841	215992
1328	427161	215670
1329	427476	215345
1330	427795	215022
1331	428111	214698
1332	428435	214378
1333	428757	214057
1334	429079	213736
1335	429398	213413
1336	429720	213092
1337	430038	212769
1338	430361	212448
1339	430681	212126
1340	431000	211804
1341	431313	211478
1342	431629	211154
1343	431950	210832
1344	432264	210507
1345	432579	210183
1346	432901	209862
1347	433214	209536
1348	433534	209215
1349	433852	208892
1350	434171	208569
1351	434482	208243
1352	434799	207919
1353	435109	207592
1354	435430	207271
1355	435751	206949
1356	436068	206626
1357	436390	206305
1358	436707	205981
1359	437026	205659
1360	437347	205337
1361	437666	205015
1362	437978	204689
1363	438295	204366
1364	438609	204041
1365	438925	203718
1366	439245	203396
1367	439567	203074
1368	439890	202754
1369	440205	202430
1370	440524	202107
1371	440847	201787
1372	441167	201465
1373	441482	201141
1374	441800	200818
1375	442121	200496
1376	442437	200173
1377	442754	199850
1378	443072	199527
1379	443392	199205
1380	443711	198883
1381	444027	198559
1382	444344	198236
1383	444660	197912
1384	444983	197592
1385	445318	197276
1386	445641	196956
1387	445964	196635
1388	446282	196312
1389	446602	195991
1390	446919	195667
1391	447244	195348
1392	447559	195024
1393	447882	194703
1394	448195	194378
1395	448513	194056
1396	448837	193735
1397	449158	193414
1398	449467	193088
1399	449790	192767
1400	450104	192443
1401	450422	192120
1402	450742	191798
1403	451057	191474
1404	451376	191152
1405	451698	190831
1406	452019	190510
1407	452340	190188
1408	452652	189863
1409	452967	189539
1410	453282	189215
1411	453601	188893
1412	453916	188569
1413	454236	188248
1414	454558	187926
1415	454874	187603
1416	455196	187282
1417	455517	186961
1418	455838	186639
1419	456156	186317
1420	456477	185996
1421	456790	185671
1422	457107	185348
1423	457419	185023
1424	457738	184701
1425	458051	184377
1426	458370	184054
1427	458687	183732
1428	459006	183409
1429	459324	183087
1430	459645	182766
1431	459964	182444
1432	460279	182120
1433	460593	181796
1434	460915	181475
1435	461234	181153
1436	461549	180829
1437	461868	180507
1438	462187	180185
1439	462499	179860
1440	462817	179538
1441	463136	179216
1442	463451	178892
1443	463769	178570
1444	464093	178250
1445	464405	177925
1446	464724	177603
1447	465048	177283
1448	465371	176963
1449	465689	176640
1450	466008	176319
1451	466330	175997
1452	466646	175675
1453	466963	175352
1454	467276	175027
1455	467597	174706
1456	467916	174384
1457	468230	174061
1458	468547	173738
1459	468868	173417
1460	469182	173093
1461	469499	172770
1462	469815	172447
1463	470132	172125
1464	470449	171802
1465	470772	171481
1466	471088	171158
1467	471403	170835
1468	471725	170514
1469	472039	170191
1470	472355	169868
1471	472674	169546
1472	472994	169224
1473	473314	168903
1474	473635	168582
1475	473945	168257
1476	474259	167933
1477	474581	167612
1478	474899	167290
1479	475215	166967
1480	475535	166646
1481	475851	166323
1482	476167	166000
1483	476489	165679
1484	476806	165357
1485	477130	165036
1486	477444	164713
1487	477765	164392
1488	478083	164070
1489	478395	163746
1490	478713	163423
1491	479035	163103
1492	479346	162778
1493	479666	162457
1494	479986	162136
1495	480310	161815
1496	480632	161494
1497	480948	161172
1498	481267	160850
1499	481590	160530
1500	481910	160208
1501	482230	159887
1502	482548	159565
1503	482861	159241
1504	483175	158918
1505	483486	158593
1506	483798	158269
1507	484113	157946
1508	484431	157624
1509	484746	157301
1510	485063	156979
1511	485380	156657
1512	485702	156336
1513	486020	156014
1514	486336	155692
1515	486658	155371
1516	486984	155051
1517	487304	154730
1518	487618	154407
1519	487934	154084
1520	488254	153763
1521	488573	153441
1522	488891	153119
1523	489212	152798
1524	489522	152474
1525	489840	152152
1526	490162	151831
1527	490474	151507
1528	490796	151187
1529	491110	150864
1530	491429	150542
1531	491750	150221
1532	492069	149899
1533	492388	149578
1534	492697	149253
1535	493015	148931
1536	493333	148609
1537	493649	148287
1538	493962	147964
1539	494272	147639
1540	494590	147318
1541	494909	146996
1542	495228	146674
1543	495549	146354
1544	495868	146032
1545	496186	145710
1546	496505	145389
1547	496827	145068
1548	497144	144746
1549	497467	144426
1550	497786	144104
1551	498098	143781
1552	498418	143459
1553	498741	143139
1554	499059	142817
1555	499375	142495
1556	499695	142174
1557	500007	141850
1558	500324	141528
1559	500642	141206
1560	500963	140886
1561	501275	140562
1562	501583	140238
1563	501901	139916
1564	502223	139595
1565	502542	139274
1566	502856	138951
1567	503173	138629
1568	503484	138305
1569	503796	137982
1570	504117	137661
1571	504430	137338
1572	504746	137016
1573	505064	136694
1574	505379	136372
1575	505699	136051
1576	506015	135728
1577	506335	135407
1578	506651	135085
1579	506969	134763
1580	507287	134442
1581	507606	134121
1582	507921	133798
1583	508241	133477
1584	508559	133155
1585	508881	132835
1586	509200	132513
1587	509515	132191
1588	509834	131870
1589	510157	131549
1590	510474	131228
1591	510798	130908
1592	511119	130587
1593	511436	130265
1594	511756	129944
1595	512078	129623
1596	512393	129301
1597	512714	128980
1598	513026	128657
1599	513345	128336
1600	513663	128014
1601	513985	127694
1602	514306	127373
1603	514627	127052
1604	514944	126730
1605	515261	126409
1606	515583	126088
1607	515901	125766
1608	516218	125445
1609	516537	125123
1610	516853	124801
1611	517163	124478
1612	517480	124156
1613	517795	123834
1614	518110	123512
1615	518430	123191
1616	518751	122870
1617	519073	122550
1618	519392	122228
1619	519716	121908
1620	520041	121588
1621	520362	121268
1622	520683	120947
1623	521001	120626
1624	521321	120305
1625	521640	119983
1626	521957	119662
1627	522278	119341
1628	522594	119019
1629	522915	118698
1630	523238	118378
1631	523558	118057
1632	523877	117736
1633	524192	117413
1634	524511	117092
1635	524831	116771
1636	525155	116451
1637	525470	116129
1638	525787	115808
1639	526105	115486
1640	526424	115165
1641	526746	114844
1642	527067	114524
1643	527376	114200
1644	527694	113879
1645	528019	113559
1646	528337	113238
1647	528659	112917
1648	528974	112595
1649	529289	112273
1650	529605	111951
1651	529925	111630
1652	530246	111310
1653	530566	110989
1654	530888	110668
1655	531205	110347
1656	531524	110025
1657	531842	109704
1658	532160	109383
1659	532478	109061
1660	532799	108741
1661	533118	108419
